NR. CRT.,VIN,DATA INTRARE VO,TIP AUTOVEHICUL,MARCA,MODEL,VERSIUNE,CULOARE,AN FABRICATIE,KM,CAPACITATE CILINDRICA,PUTERE,DATA PRIMEI INMATRICULARI,FURNIZOR,PROVENIENTA,Tip,LOCATIA,PRET CUMPARARE HT LEI,PRET EVALUARE TTC EURO,Data validare pret evaluare,REZERVARI,NR NIR,OBSERVATII,Serie caroserie,Nr inmatriculare vehicul,Discount,VANZARE,Curs ? Dacia,Pret vanzare lei TTC,Pret vanzare lei HT,tva,Data aviz plata,Nr factura,Data factura,Nume cumparator,Conditie interioara,Conditie exterioara,Pret evaluare DVS (TVA inclus),Pret evaluare Retail (TVA inclus),Pret Trade-in (TVA inclus),Stare,Data evaluare,FREVO,Data final garantie,Data actuala,Zile ramase garantie,Rate facturate,Perioada contract,CIV,IESIRE ROL,LIVRATE LA CLIENT,DATA OFERTA ANGAJATI,Data evaluare,Zile stoc / data evaluare,Zile stoc / data intrare,Viteza rotatie
11,VF1AG000770919521,28/11/2024,AUTOTURISM,RENAULT,ZOE,EQUILIBRE Z.E. 40 - R110,ALB GLACIER,2023,8,ELECTRIC,110,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,TI SUEROM,"81,452.40 lei","21,000.00 ?",,STAR MOTOR SRL,,"INCARCARE RAPIDA DC 50, BATERIE, SMARTPHONE IMITATION 2",0919521,B122ZHJ,7.38%,"19,450.00 ?",5.0014 lei,"97,277.23 lei","81,745.57 lei","15,531.66 lei",12/30/2024,RCRF4005583VO,1/29/2025,STAR MOTOR SRL,STARE NOUA,STARE NOUA,21000,25477,22512,F BUNA,29.11.2024/RS,,6/12/2027,10/22/2025,598,-,-,,,,-,29.11.2024,#VALUE!,328,62
12,VF1AG000770919535,28/11/2024,AUTOTURISM,RENAULT,ZOE,EQUILIBRE Z.E. 40 - R110,ALB GLACIER,2023,6,ELECTRIC,110,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,TI SUEROM,"81,452.40 lei","21,000.00 ?",,STAR MOTOR SRL,,"INCARCARE RAPIDA DC 50, BATERIE, SMARTPHONE IMITATION 2",0919535,B122ZHL,7.38%,"19,450.00 ?",5.0014 lei,"97,277.23 lei","81,745.57 lei","15,531.66 lei",12/30/2024,RCRF4005584VO,1/29/2025,STAR MOTOR SRL,STARE NOUA,STARE NOUA,21000,25477,22512,F BUNA,29.11.2024/RS,,6/11/2027,10/22/2025,597,-,-,,,,-,29.11.2024,#VALUE!,328,62
13,UU1DJF01X71785284,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY TCE 130 4X2,SCHISTE GREY,2024,10989,1199,130,3/12/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA/OTS +INLOC PIESE,"72,355.99 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"PARKING PACK, ROATA REZERVA DIMENSIUNI REDUSE",1785284,B120EKT,#DIV/0!,"18,600.00 ?",5.0014 lei,"93,026.04 lei","78,173.14 lei","14,852.90 lei",12/30/2024,RCRF4005585VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
14,UU1DJF01271785280,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY HEV 140,TERRACOTTA BRUN ÿ,2024,10264,1598,140,3/12/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"83,757.96 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1785280,B120EMK,#DIV/0!,"21,500.00 ?",5.0014 lei,"107,530.10 lei","90,361.43 lei","17,168.67 lei",12/30/2024,RCRF4005586VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
15,UU1DJF01571793597,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME HEV 140,SANDSTONE,2024,8159,1598,140,3/12/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"88,812.57 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"TECHNO PACK, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1793597,B121EMU,#DIV/0!,"22,000.00 ?",5.0014 lei,"110,030.80 lei","92,462.86 lei","17,567.94 lei",12/30/2024,RCRF4005587VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
16,UU1DJF01771793598,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME HEV 140,SANDSTONE,2024,9808,1598,140,3/12/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"86,291.16 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"TECHNO PACK, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1793598,B120EMW,#DIV/0!,"22,000.00 ?",5.0014 lei,"110,030.80 lei","92,462.86 lei","17,567.94 lei",12/30/2024,RCRF4005588VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
17,UU1DJF01371785255,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME HEV 140,SANDSTONEÿ,2024,12823,1598,140,3/12/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"86,292.16 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"PARKING PACK 1, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1785255,B120EMO,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005589VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
18,UU1DJF01471785281,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME HEV 140,SANDSTONE,2024,,1598,140,3/12/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"86,292.16 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"PARKING PACK 1, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1785281,B120EKW,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005590VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
19,UU1DJF01271793590,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY ECO-G 100,SANDSTONE,2024,,999,100,NEINMATRICULAT,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC BENGA,"71,146.18 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1793590,NEINMATRICULAT,#DIV/0!,"17,000.00 ?",5.0014 lei,"85,023.80 lei","71,448.57 lei","13,575.23 lei",12/30/2024,RCRF4005591VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
20,UU1DJF01671793608,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY TCE 130 4X4,SANDSTONE,2024,,1199,130,5/21/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"88,451.15 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1793608,B121WOL,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005592VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
21,UU1DJF01X71793725,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME TCE 130 4X4,SANDSTONE,2024,,1199,130,5/21/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"90,636.38 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"TECHNO PACK, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1793725,B121WOH,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005593VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
22,UU1DJF01871793593,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY ECO-G 100,SANDSTONE,2024,7795,999,100,8/7/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"71,146.18 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1793593,B121YSH,#DIV/0!,"17,000.00 ?",5.0014 lei,"85,023.80 lei","71,448.57 lei","13,575.23 lei",12/30/2024,RCRF4005594VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
23,UU1DJF01771793603,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY HEV 140,SANDSTONE,2024,15758,1598,140,7/10/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"84,105.93 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1793603,B121THC,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005595VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
24,UU1DJF01971793604,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY HEV 140,SANDSTONE,2024,4199,1598,140,6/7/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"84,105.93 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1793604,B121CEN,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005596VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
25,UU1DJF01571793602,19/12/2024,AUTOTURISM,DACIA,DUSTER III,JOURNEY TCE 130 4X4,SANDSTONE,2024,7107,1199,130,7/10/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"88,451.15 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,PARKING PACK,1793602,B121THF,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005597VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
26,UU1DJF01971793599,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME HEV 140,SANDSTONE,2024,11266,1598,140,7/10/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"86,291.16 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"TECHNO PACK, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1793599,B121THG,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005598VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
27,UU1DJF01371793596,19/12/2024,AUTOTURISM,DACIA,DUSTER III,EXTREME TCE 130 4X4,SANDSTONE,2024,,1199,130,8/7/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC DBC,"90,636.38 lei",,,"Reforma B, nevandabil ca VN, in curs de realiniere pentru deblocare facturare ÿVO",FT17,"TECHNO PACK, PARKING PACK, JANTE ALIAJ SEMI-DIAMANTATE 18",1793596,B121YSK,#DIV/0!,"21,700.00 ?",5.0014 lei,"108,530.38 lei","91,202.00 lei","17,328.38 lei",12/30/2024,RCRF4005599VO,1/29/2025,STAR MOTOR SRL,Final Ianuarie 2025,,,,,,,,12/23/2027,10/22/2025,792,-,-,,,,-,,-,307,41
1,UU1DBG008LU001414,22/12/2022,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,LIGHTNING SILVER,2020,3427,ELECTRIC,45,8/30/2021,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC AMAT,"24,707.59 lei",,,DACOSERV SELECTION SRL,FT,"BATERIE, MAPSTD, ROATA DE REZERVA",U001414,B110XKC,#DIV/0!,"8,150.00 ?",5.0016 lei,"40,763.04 lei","34,254.66 lei","6,508.38 lei",2/3/2025,RCRF4005601VO,2/3/2025,DACOSERV SELECTION SRL,BUNA,"MESAJ VERIFICA APELARE SOS, BARA FATA+ORNAMENT ARIPA STANGA USOR DESPRINSE, NECESAR REVIZIE ANUALA",11000,N/A,N/A,F BUNA,10-02-2023/OV,200,-,10/22/2025,#VALUE!, - , - ,CIV+COC,,,-,10-02-2023,284,1035,774
2,UU1DBG004LU002673,26/05/2023,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,MOTON SILVER,2020,6929,ELECTRIC,45,6/24/2021,RCI FINANTARE ROMANIA,EXTERNA,LO,PARC AMAT,"40,911.09 lei",,,DACOSERV SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002673,B110VHW,#DIV/0!,"8,150.00 ?",5.0016 lei,"40,763.04 lei","34,254.66 lei","6,508.38 lei",2/3/2025,RCRF4005602VO,2/3/2025,DACOSERV SELECTION SRL,BUNA,"LIPSA PLO, GEAM OGLINDA DREAPTA NECONFORM ( EFECT LUPA), CARNET SERVICE 6786KM/05.2022",11500,N/A,N/A,F BUNA,02-09-2022/OV,,5/30/2024,10/22/2025,-510,-,-,CIV,,,-,02-09-2022,-471,880,619
3,UU1DBG001LU002744,26/05/2023,AUTOTURISM,DACIA,SPRING,BUSINESS STEP1 DT,MOTON SILVER,2020,3972,ELECTRIC,45,6/24/2021,RCI FINANTARE ROMANIA,EXTERNA,LO,PARC AMAT,"40,911.09 lei",,,DACOSERV SELECTION SRL,,"ROATA DE REZERVA, BATERIE, INCARCARE RAPIDA",U002744,B110VKY,#DIV/0!,"8,150.00 ?",5.0016 lei,"40,763.04 lei","34,254.66 lei","6,508.38 lei",2/3/2025,RCRF4005603VO,2/3/2025,DACOSERV SELECTION SRL,LIPSA COVORASE,,11500,N/A,N/A,F BUNA,05-10-2022/RS,,5/30/2024,10/22/2025,-510,-,-,CIV,,,-,05-10-2022,-381,880,619
